St,County,Design Wind Speed (mph),Wind Quality Class
IA,Kossuth,15.7,2
HI,Hawaii,21,1
SD,Brule,18.8,1
ND,Ward,17.9,1
ND,Ward,22.4,1
SD,Jerauld,22.4,1
MI,CHEBOYGAN,11,3
OK,Comanche,22.4,2
CA,Kern,17,1
CA,Kern,20,1
CA,Kern,22.4,1
CA,Riverside,22.4,1
CA,Kern,21,2
TX,Howard,22.4,1
WY,Albany,22.4,1
WY,Carbon,22.4,1
MI,Mason,16.7,3
MI,Tuscola,17,3
MI,Gratiot,17,3
MI,Huron,17,3
MI,Sanilac,17,3
TX,Hudspeth,20.1,1
CO,Logan,,
MN,Murray,22.4,1
OR,Umatilla,22.4,1
CA,Riverside,21,1
MN,MARTIN,19,2
TX,Upton,19,2
WA,Walla Walla,22.4,1
IA,Hancock,22.4,1
PA,Somerset,19,2
WV,Tucker,19,2
MN,DODGE,14,2
MN,Mower,14,2
IL,Henry,18,1
TX,Oldham,19.3,1
AK,Denali,16.5,3
KS,Gray,22.4,1
VT,Bennington,18,1
VT,Orleans,17,2
IA,Cerro Gordo,19,2
CA,Solano,22.4,1
MA,Plymouth,12,1
IL,PIKE,13.7,2
CA,MERCED,15.4,2
IA,Franklin,17,2
IA,KOSSUTH,22,3
IA,DICKINSON,22,3
MA,Essex,15.3,3
KS,Ford,19,2
MN,Pipestone,16,2
CA,Alameda,20,2
AK,KODIAK ISLAND,22,1
AK,NORTHWEST ARCTIC,13,4
AK,NORTHWEST ARCTIC,13,3
CO,Prowers,19,2
NE,LANCASTER,17,3
CA,Kern,19,2
WA,Klickitat,14,4
MA,Suffolk,20.4,2
WI,Kewaunee,18,2
IA,Worth,19,2
CA,Riverside,15.7,1
CA,Kern,19.2,1
CA,Kern,0,1
CA,Kern,28,1
AZ,Mohave,28,1
CA,Kern,18,2
CA,Kern,18,1
CA,Riverside,22,1
MA,Berkshire,16,2
MT,FALLON,12,2
ND,Bowman,12,2
IA,Buena Vista,16.8,3
IA,Hamilton,16.8,3
IA,Carroll,16.8,3
IA,Pocahontas,16.8,3
IA,Floyd,16.8,3
IA,Adair,16.8,3
IA,Pottawattamie,16.8,3
IA,Marshall,16.8,3
IA,Cass,16.8,3
IA,Guthrie,16.8,3
IA,Webster,16.8,3
IA,Madison,16.8,3
IA,Grundy,16.8,3
MN,Rock,15.6,2
MN,St Louis,20,2
ND,Morton,19.9,2
MN,Steele,19,2
MN,Clay,19,2
MN,Cottonwood,15,3
NE,Brown,14.5,4
IA,Henry,15,2
AK,Nome,9.8,2
MN,Mower,18,2
MN,NOBLES,19,2
TX,Pecos,22.4,1
MT,Judith Basin,19,2
OK,Harper,25,2
OK,Woodward,17.8,2
OK,Dewey,17.8,2
IA,MITCHELL,17.8,2
ND,Steele,16,1
ND,Barnes,16,1
ND,Cavalier,16,1
OR,Gilliam,19,2
WA,Columbia,25.3,1
WA,Klickitat,19,2
WY,Converse,19,2
WY,Carbon,19,2
WY,Albany,19,2
CO,Weld,16.5,2
OR,Sherman,19,2
WA,Columbia,22.3,2
MA,Worcester,16,2
OR,Sherman,14.5,4
CA,Riverside,19.2,2
IA,Dickinson,16,4
CO,Prowers,16.2,4
MN,Pipestone,15.5,4
MN,Martin,15,4
KS,Butler,18,4
WA,Klickitat,17,4
CA,Solano,15.3,4
PA,Somerset,15.1,4
IA,Worth,18,4
NH,Sullivan,18,4
MN,Brookings,16.1,4
CO,Bent,17.4,3
OR,Sherman,16.5,4
PA,Schuylkill,15.3,4
IL,Bureau,17,4
IA,Winnebago,17.1,3
IA,Worth,16.3,4
MO,Atchison,18.6,3
PA,Schuylkill,16.3,4
OR,Gilliam,14.3,4
OR,Sherman,16,4
CA,Riverside,17,4
SD,Brookings,17.9,3
MN,Jackson,15.5,4
MN,Pipestone,16.1,4
TX,Kenedy,17.3,3
PA,Fayette,15.8,4
IL,Livingston,15.5,4
TX,Kenedy,17.4,3
OR,Sherman,15,4
ND,Pierce,15.9,4
AZ,Navajo,11.7,4
TX,Jack,12.3,4
NY,Herkimer,16,4
WA,Klickitat,13.5,4
OR,Gilliam,14,4
AZ,Navajo,13.7,4
MA,Berkshire,16.7,4
SD,Brookings,15.7,4
OH,Van Wert,15.7,4
CA,Kern,20,2
IA,Crawford,18.5,3
MN,Martin,16.6,4
TX,Kenedy,14,3
NH,Grafton,15.5,4
CO,Weld,35,1
WA,Columbia,16.5,2
WA,Kittitas,18,2
WA,Kittitas,15.4,2
WA,GARFIELD,15.6,2
CA,Solano,34,2
CA,Solano,38,2
TX,Carson,21.3,1
CA,Riverside,23.4,1
CA,Riverside,20.2,1
TX,Scurry,17.4,2
WV,Grant,18.3,2
CA,Kern,23,1
TN,Anderson,15.2,2
CA,Kern,14,2
CA,Kern,14,1
TX,Nolan,18,1
WA,Klickitat,16.5,3
CA,Riverside,12,1
CA,Kern,26.8,1
WY,Carbon,17,1
CA,Riverside,26.8,1
WY,Carbon,12,1
TX,Taylor,17,1
CA,Kern,12,1
TX,Nolan,17,1
WV,Barbour,16.1,3
WA,Benton,14,4
PA,Wayne,19,2
IA,Bremer,12.5,2
CA,Riverside,17.5,2
MN,Kandiyohi,14.7,3
MN,Kandiyohi,14.7,2
CA,Kern,19,1
WI,Fond Du Lac,19,2
WI,Iowa,19,2
WI,Columbia,19,2
WI,Fond Du Lac,15,2
MN,Freeborn,16.3,2
WI,Kewaunee,15.4,3
IA,Howard,17.8,2
NE,Kimball,18,2
KS,Wichita,33.5,1
KS,Barber,19.5,2
MN,Pipestone,18.4,2
CA,Riverside,25,2
IA,Buena Vista,17,3
MN,Pipestone,17,3
NM,Roosevelt,19,2
TX,Oldham,19,2
MN,Murray,17,3
MN,Cottonwood,17,3
OK,Harper,19,2
MN,Cottonwood,19,2
UT,Utah,19,2
WY,Uinta,19,2
TX,Sterling,19,2
IA,Palo Alto,19,2
IA,GREENE,19,2
NM,Torrance,19,2
NE,Knox,22,1
TX,Webb,17,3
OK,Dewey,19,2
NE,Boone,17,3
NE,Knox,20,1
MN,LINCOLN,19,2
NE,Custer,17,3
WV,Mineral,19,2
NY,Wyoming,24,2
NY,Madison,24,2
NM,Quay,19,2
OK,Woodward,19,2
SD,Hyde,19,2
ND,LaMoure,19,2
OH,Wood,29.5,1
MN,Redwood,19.1,3
MN,Martin,16.8,2
MN,Martin,19.1,3
CA,Riverside,19,2
TX,Pecos,16.5,1
OR,Umatilla,19,2
MN,Pipestone,19,2
NY,Madison,22,1
ID,Bonneville,15.8,2
CO,Logan,19.5,2
MT,Wheatland,19,2
TN,Anderson,17,2
TX,Scurry,18.6,2
TX,Martin,17.4,2
TX,Dickens,19.5,2
TX,Nolan,17.4,2
IL,LaSalle,18.3,2
IL,LaSalle,17.2,2
WI,Dodge,17,2
OR,Morrow,15.2,2
NY,Wyoming,15,3
WV,Greenbrier,17,2
WA,Kittitas,17.4,2
IL,Henry,16.1,3
IL,Vermilion,18.1,3
TX,Mills,16.8,3
NE,Antelope,19,2
MI,Gratiot,14.5,3
TX,Roberts,19.1,2
NY,Steuben,16.7,3
CO,Logan,20.4,2
CO,Logan,18.6,2
TX,Hansford,20,1
MN,Lincoln,22.4,1
TX,Taylor,19,2
CA,Alameda,16.6,1
OK,Custer,19,2
TX,Taylor,30,1
IL,Lee,19,2
TX,Nolan,19,2
NM,Quay,18.5,2
NM,Quay,14,2
CA,San Diego,19,2
IL,Bureau,21,2
PA,Luzerne,19,2
NJ,Atlantic,19,2
NM,Guadalupe,17.3,2
TX,Nolan,16.5,2
CO,Weld,16.6,2
CA,Contra Costa,13.6,2
PA,Cambria,19,2
NY,Lewis,19,2
OK,Comanche,16.1,2
IL,McLean,19,2
ND,Burleigh,19,2
MN,Lincoln,24,2
MN,Clay,24,2
TX,Shackelford,33,2
TX,Shackelford,15,2
IL,BUREAU,15.9,2
MN,Pipestone,18.6,1
MN,PIPESTONE,17.4,1
MN,PIPESTONE,18.1,1
MN,Pipestone,17.6,1
