State,Average Temp (C)
Alabama,17.1
Alaska,-3.0
Arizona,15.7
Arkansas,15.8
California,15.2
Colorado,7.3
Connecticut,9.4
Delaware,12.9
Florida,21.5
Georgia,17.5
Hawaii,21.1
Idaho,6.9
Illinois,11.0
Indiana,10.9
Iowa,8.8
Kansas,12.4
Kentucky,13.1
Louisiana,19.1
Maine,5.0
Maryland,12.3
Massachusetts,8.8
Michigan,6.9
Minnesota,5.1
Mississippi,17.4
Missouri,12.5
Montana,5.9
Nebraska,9.3
Nevada,9.9
New Hampshire,6.6
New Jersey,11.5
New Mexico,11.9
New York,7.4
North Carolina,15.0
North Dakota,4.7
Ohio,10.4
Oklahoma,15.3
Oregon,9.1
Pennsylvania,9.3
Rhode Island,10.1
South Carolina,16.9
South Dakota,7.3
Tennessee,14.2
Texas,18.2
Utah,9.2
Vermont,6.1
Virginia,12.8
Washington,9.1
West Virginia,11.0
Wisconsin,6.2
Wyoming,5.6
