@relation eolicEnergy
@attribute land Numeric
@attribute forestCover Numeric
@attribute averageTemp Numeric
@attribute averageElevation Numeric
@attribute differenceElevation Numeric
@attribute percentagePublicLand Numeric
@attribute averageWindSpeedMPH Numeric
@attribute NuclearProductionPerYear Numeric
@attribute UnemploymentRate Numeric
@attribute canHaveExtraEolicEnergy {Si, No}
@data
131171,70.6,17.1,150,733,7.1,14.7,41951382,6.2,No
1477953,3.3,-3,580,6198,95.8,16.35,0,6.6,No
294207,4.8,15.7,1300,3832,17.3,15.92,32525595,5.4,No
134771,55.1,15.8,200,823,56.8,16.44,13837794,4.0,No
403466,17.8,15.2,880,4505,52.1,13.54,18505385,5.4,Si
268431,17.5,7.3,2100,3391,43.3,20.16,0,2.9,Si
12542,54.7,9.4,150,726,6.2,13.97,17410917,5.7,No
5047,30,12.9,20,137,7.4,12.91,0,4.4,No
138887,42.4,21.5,30,105,29.2,14.63,28121916,4.9,No
148959,64.2,17.5,180,1459,9.7,15.34,33838462,5.5,No
16635,17,21.1,920,4208,19,14.03,0,3.1,No
214045,31.8,6.9,1500,3645,70.4,20.59,0,3.8,Si
143793,11.5,11,180,292,4.1,18.28,97318795,6.5,Si
92789,18.9,10.9,210,285,4.5,17.84,0,5.0,Si
144669,5.4,8.8,340,363,2.8,18.09,5243446,3.8,Si
211754,2.8,12.4,610,1025,1.9,19.3,8630178,3.9,Si
102269,48.6,13.1,230,1185,11.8,16.26,0,5.6,No
111898,49.2,19.1,30,165,10.7,13.6,15300736,6.1,No
79883,85.8,5,180,1606,5.7,16.95,0,3.4,Si
25142,37.9,12.3,110,1025,7.6,19.74,14643325,4.7,No
20202,52.5,8.8,150,1064,6.3,15.76,4994806,4.4,No
146435,51.2,6.9,280,430,28.1,17.5,29333786,4.8,Si
206232,28.9,5.1,366,519,23.5,18.51,12038606,3.7,Si
121531,61.9,17.4,90,246,10.9,15.19,11714588,6.3,No
178040,30.3,12.5,240,470,11.2,19.31,10440082,4.2,No
376962,20.6,5.9,1000,3355,37.5,21.03,0,4.3,Si
198974,1.8,9.3,790,1398,2.8,18.51,10324728,3.0,Si
284332,0.5,9.9,1700,3861,87.8,17.43,0,5.8,No
23187,78.4,6.6,300,1918,18,17.13,9484204,2.6,No
19047,39.5,11.5,80,550,18.3,14.33,33261760,4.4,No
314161,5.6,11.9,1700,3147,47.4,17.82,0,6.2,Si
122057,50.9,7.4,300,1630,37.1,15.57,44602871,4.8,Si
125920,59.9,15,210,2039,14.6,17.99,42096761,5.5,No
178711,1,4.7,580,840,9.1,18.8,0,3.1,Si
105829,28.9,10.4,260,333,4.2,16.16,17376736,5.1,No
177660,14.2,15.3,400,1429,4.6,16.46,0,4.4,Si
248608,38.8,9.1,1000,3428,60.4,16.38,0,4.5,Si
115883,55.3,9.3,340,980,16.1,17.42,80479752,4.9,Si
2678,50.8,10.1,110,248,1.5,14.91,0,5.4,No
77857,63.8,16.9,110,1086,11.8,15.88,53156320,5.7,No
196350,3.1,7.3,670,1914,8.9,21.32,0,2.5,Si
106798,52.9,14.2,280,1972,14.1,17.43,24960472,4.5,No
676587,7,18.2,520,2668,4.2,15.55,39354677,4.3,No
212818,8.9,9.2,1860,3516,75.2,18.26,0,3.5,No
23871,75.7,6.1,300,1311,15.8,18.07,0,3.3,No
102279,60.7,12.8,290,1747,17.1,19.32,28060358,4.0,No
172119,40.7,9.1,520,4395,41.9,15.03,8160912,5.8,Si
62259,77.2,11,460,1410,16.5,18.72,0,6.5,Si
140268,45.2,6.2,320,418,17.8,18.4,10008183,4.5,Si
251470,9.2,5.6,2044,3265,55.9,20.88,0,5.2,Si
