State,January,February,March,April,May,June,July,August,September,October,November,December,Year_to_Date
AL,"853,754","770,726","843,197","747,655","780,597","787,022","804,999","790,276","745,583","841,905","644,398","845,209","9,455,321"
AL,"826,270","739,198","312,359","505,117","818,539","785,134","799,567","798,092","741,511","825,737","805,178","634,618","8,591,320"
AL,"842,606","765,990","824,757","797,517","819,727","781,190","797,983","801,924","794,555","831,165","807,070","758,569","9,623,053"
AL,"666,661","603,411","546,669","-5,898","325,883","630,971","650,187","652,176","634,374","661,394","643,214","665,725","6,674,767"
AL,"670,651","604,864","665,989","642,944","632,333","635,876","651,140","654,539","637,897","663,280","481,336","666,072","7,606,921"
Alabama Total,"3,859,942","3,484,189","3,192,971","2,687,335","3,377,079","3,620,193","3,703,876","3,697,007","3,553,920","3,823,481","3,381,196","3,570,193","41,951,382"
AZ,"991,997","893,368","988,475","956,675","987,133","953,325","980,563","975,510","946,542","983,186","958,790","995,448","11,611,012"
AZ,"996,884","900,083","994,186","961,457","991,848","947,205","984,366","979,717","950,160","280,473","421,734","999,338","10,407,451"
AZ,"984,709","889,343","985,063","88,525","785,163","948,481","979,617","973,515","943,533","981,204","956,794","991,185","10,507,132"
Arizona Total,"2,973,590","2,682,794","2,967,724","2,006,657","2,764,144","2,849,011","2,944,546","2,928,742","2,840,235","2,244,863","2,337,318","2,985,971","32,525,595"
AR,"459,477","-8,118","599,095","604,281","629,684","605,110","616,752","615,320","596,790","628,794","609,746","559,587","6,516,518"
AR,"749,687","677,413","747,373","720,835","742,092","712,244","727,025","714,101","444,619","-2,066","339,665","748,288","7,321,276"
Arkansas Total,"1,209,164","669,295","1,346,468","1,325,116","1,371,776","1,317,354","1,343,777","1,329,421","1,041,409","626,728","949,411","1,307,875","13,837,794"
CA,"726,848","768,185","853,531","829,120","854,482","825,777","849,114","845,632","812,534","74,171","559,941","790,335","8,789,670"
CA,"836,852","758,025","840,470","816,367","841,942","813,777","832,608","820,596","721,108","830,445","810,297","793,228","9,715,715"
California Total,"1,563,700","1,526,210","1,694,001","1,645,487","1,696,424","1,639,554","1,681,722","1,666,228","1,533,642","904,616","1,370,238","1,583,563","18,505,385"
CT,"650,280","586,217","647,379","604,437","646,955","627,012","645,991","643,800","620,703","50,948","392,016","642,169","6,757,907"
CT,"919,022","830,257","919,011","782,561","917,131","884,797","909,205","904,621","873,822","912,077","886,203","914,303","10,653,010"
Connecticut Total,"1,569,302","1,416,474","1,566,390","1,386,998","1,564,086","1,511,809","1,555,196","1,548,421","1,494,525","963,025","1,278,219","1,556,472","17,410,917"
FL,"609,922","554,315","560,234","555,998","526,481","576,992","596,055","592,866","584,174","338,785","-3,523","506,496","5,998,795"
FL,"617,419","559,865","607,917","582,168","473,079","579,658","598,860","600,780","587,113","617,314","602,591","621,093","7,047,857"
FL,"748,550","678,124","514,621","112,009","738,647","715,734","744,773","675,019","711,879","738,478","715,821","739,595","7,833,250"
FL,"757,931","559,517","737,449","480,994","746,765","724,746","754,326","745,452","155,803","109,492","716,138","753,401","7,242,014"
Florida Total,"2,733,822","2,351,821","2,420,221","1,731,169","2,484,972","2,597,130","2,694,014","2,614,117","2,038,969","1,804,069","2,031,027","2,620,585","28,121,916"
GA,"880,161","796,153","875,044","843,049","864,730","829,905","853,746","856,521","519,834","154,823","849,017","875,686","9,198,669"
GA,"887,318","801,536","764,665","847,702","834,790","836,556","861,864","863,553","839,122","874,737","852,000","878,696","10,142,539"
GA,"595,301","601,092","626,776","610,559","656,172","628,377","647,258","651,062","606,600","659,292","640,666","647,383","7,570,538"
GA,"616,527","144,522","336,786","643,443","661,963","634,599","655,476","629,258","635,185","663,954","644,874","660,129","6,926,716"
Georgia Total,"2,979,307","2,343,303","2,603,271","2,944,753","3,017,655","2,929,437","3,018,344","3,000,394","2,600,741","2,352,806","2,986,557","3,061,894","33,838,462"
IL,"666,063","722,716","795,311","644,815","322,729","771,162","797,145","793,930","766,668","800,523","778,391","804,314","8,663,767"
IL,"627,414","486,400","690,203","663,106","671,439","652,318","680,980","677,505","655,717","636,169","223,823","692,110","7,357,184"
IL,"675,148","613,219","686,977","660,540","663,466","652,216","680,107","677,550","655,174","679,977","648,228","538,572","7,831,174"
IL,"686,718","632,165","190,579","592,147","688,620","664,090","680,103","680,574","647,584","690,076","669,335","697,608","7,519,599"
IL,"692,426","627,206","693,688","667,358","687,231","655,850","676,299","676,579","612,679","688,496","669,552","695,188","8,042,552"
IL,"908,440","820,500","829,341","341,018","900,385","866,556","883,625","892,234","864,855","904,735","877,278","905,395","9,994,362"
IL,"881,676","795,752","878,902","848,987","875,014","870,079","862,342","864,390","829,843","303,498","853,828","881,338","9,745,649"
IL,"895,616","803,530","658,760","857,933","862,196","850,165","875,329","876,384","336,354","762,999","764,629","892,658","9,436,553"
IL,"874,051","790,602","871,122","828,514","875,014","830,533","855,130","857,387","829,124","814,190","750,441","865,478","10,041,586"
IL,"874,674","790,602","869,859","841,977","858,937","826,153","844,743","849,551","818,939","866,216","840,910","872,011","10,154,572"
IL,"871,645","24,432","382,180","842,244","814,222","795,721","838,856","583,047","799,369","866,486","845,489","868,106","8,531,797"
Illinois Total,"8,653,871","7,107,124","7,546,922","7,788,639","8,219,253","8,434,843","8,674,659","8,429,131","7,816,306","8,013,365","7,921,904","8,712,778","97,318,795"
IA,"418,537","414,738","453,805","438,786","434,472","431,512","434,796","444,377","430,791","446,190","439,209","456,233","5,243,446"
Iowa Total,"418,537","414,738","453,805","438,786","434,472","431,512","434,796","444,377","430,791","446,190","439,209","456,233","5,243,446"
KS,"909,980","786,680","-7,224","-16,253","761,833","862,928","885,723","887,146","864,625","904,321","880,443","909,976","8,630,178"
Kansas Total,"909,980","786,680","-7,224","-16,253","761,833","862,928","885,723","887,146","864,625","904,321","880,443","909,976","8,630,178"
LA,"875,927","786,130","876,019","821,574","862,583","654,977","865,676","861,038","830,419","588,793","-7,857","369,462","8,384,741"
LA,"646,588","489,514","15,181","687,010","693,828","409,744","662,122","717,646","684,848","726,435","569,253","613,826","6,915,995"
Louisiana Total,"1,522,515","1,275,644","891,200","1,508,584","1,556,411","1,064,721","1,527,798","1,578,684","1,515,267","1,315,228","561,396","983,288","15,300,736"
MD,"675,028","608,995","672,980","602,210","655,449","637,666","648,345","651,784","631,175","667,324","649,073","671,666","7,771,695"
MD,"652,575","310,452","363,408","582,685","646,483","617,456","631,625","630,595","613,827","649,692","631,780","541,052","6,871,630"
Maryland Total,"1,327,603","919,447","1,036,388","1,184,895","1,301,932","1,255,122","1,279,970","1,282,379","1,245,002","1,317,016","1,280,853","1,212,718","14,643,325"
MA,"429,392","252,653","505,736","302,697","107,757","475,870","503,035","442,078","485,608","497,922","490,691","501,367","4,994,806"
Massachusetts Total,"429,392","252,653","505,736","302,697","107,757","475,870","503,035","442,078","485,608","497,922","490,691","501,367","4,994,806"
MI,"608,486","548,730","608,445","585,160","592,832","570,012","585,747","578,292","245,693","207,366","583,569","604,188","6,318,520"
MI,"858,364","773,670","488,848","717,719","838,762","800,473","827,467","824,769","311,762","-4,502","36,567","856,647","7,330,546"
MI,"807,010","734,502","814,382","783,324","771,336",689,"41,501","743,966","741,524","795,274","777,552","811,474","7,822,534"
MI,"837,073","756,978","614,579","41,480","828,780","796,330","814,370","792,934","774,894","828,856","775,912",0,"7,862,186"
Michigan Total,"3,110,933","2,813,880","2,526,254","2,127,683","3,031,710","2,167,504","2,269,085","2,939,961","2,073,873","1,826,994","2,173,600","2,272,309","29,333,786"
MN,"462,652","420,166","465,432","156,356","2,466","418,819","470,732","477,996","462,826","492,735","357,253","476,462","4,663,895"
MN,"338,851","205,235","393,318","72,070","257,207","341,546","393,452","395,164","384,797","404,398","396,707","408,478","3,991,223"
MN,"412,049","371,801","105,575","349,166","395,841","289,902","393,396","395,555","385,624","205,679","-3,249","82,149","3,383,488"
Minnesota Total,"1,213,552","997,202","964,325","577,592","655,514","1,050,267","1,257,580","1,268,715","1,233,247","1,102,812","750,711","967,089","12,038,606"
MS,"1,029,720","586,059","1,057,543","974,571","1,047,768","971,407","1,030,521","1,004,044","967,470","1,049,136","986,999","1,009,350","11,714,588"
Mississippi Total,"1,029,720","586,059","1,057,543","974,571","1,047,768","971,407","1,030,521","1,004,044","967,470","1,049,136","986,999","1,009,350","11,714,588"
MO,"911,205","752,567","915,541","881,151","903,267","863,518","784,224","838,780","870,449","912,558","887,442","919,380","10,440,082"
Missouri Total,"911,205","752,567","915,541","881,151","903,267","863,518","784,224","838,780","870,449","912,558","887,442","919,380","10,440,082"
NC,"720,733","639,542","715,979","690,878","698,007","672,710","702,647","696,475","682,144","709,968","560,491","703,030","8,192,604"
NC,"684,760","431,003","-2,456","533,862","696,982","656,403","687,635","689,509","657,684","697,366","672,413","690,817","7,095,978"
NC,"716,758","650,304","712,106","15,096","333,847","671,653","695,019","696,555","677,127","706,975","692,525","704,212","7,272,177"
NC,"890,294","597,966","890,027","860,299","887,828","851,080","870,571","867,816","840,610","881,364","860,835","890,229","10,188,919"
NC,"886,697","800,476","883,952","857,325","882,777","845,449","813,126","787,267","288,588","555,375","858,294","887,757","9,347,083"
North Carolina Total,"3,899,242","3,119,291","3,199,608","2,957,460","3,499,441","3,697,295","3,768,998","3,737,622","3,146,153","3,551,048","3,644,558","3,876,045","42,096,761"
NE,"378,565","342,099","370,892","121,849","-2,172","220,643","248,843","365,864","356,303","374,474","366,380","380,217","3,523,957"
NE,"587,113","533,977","589,883","564,689","532,358","538,878","574,358","574,340","563,194","590,591","567,743","583,647","6,800,771"
Nebraska Total,"965,678","876,076","960,775","686,538","530,186","759,521","823,201","940,204","919,497","965,065","934,123","963,864","10,324,728"
NH,"927,399","837,795","926,963","898,491","928,074","897,051","926,131","926,225","822,759",139,"464,155","929,022","9,484,204"
New Hampshire Total,"927,399","837,795","926,963","898,491","928,074","897,051","926,131","926,225","822,759",139,"464,155","929,022","9,484,204"
NJ,"473,390","427,213","387,221","455,461","346,831","443,823","451,332","450,892","441,359","468,485","441,346","471,476","5,258,829"
NJ,"881,295","788,380","488,477","806,721","867,847","834,019","841,418","856,152","833,404","866,738","805,768","878,192","9,748,411"
