Rank,Average_Wind_Speed,State
1.,31.44 mph,"District of Columbia"
2.,21.32 mph,"South Dakota"
3.,21.03 mph,"Montana"
4.,20.88 mph,"Wyoming"
5.,20.59 mph,"Idaho"
6.,20.16 mph,"Colorado"
7.,19.74 mph,"Maryland"
8.,19.32 mph,"Virginia"
9.,19.31 mph,"Missouri"
10.,19.30 mph,"Kansas"
11.,18.80 mph,"North Dakota"
12.,18.72 mph,"West Virginia"
13.,18.51 mph,"Nebraska"
14.,18.51 mph,"Minnesota"
15.,18.40 mph,"Wisconsin"
16.,18.28 mph,"Illinois"
17.,18.26 mph,"Utah"
18.,18.09 mph,"Iowa"
19.,18.07 mph,"Vermont"
20.,17.99 mph,"North Carolina"
21.,17.84 mph,"Indiana"
22.,17.82 mph,"New Mexico"
23.,17.50 mph,"Michigan"
24.,17.43 mph,"Tennessee"
25.,17.43 mph,"Nevada"
26.,17.42 mph,"Pennsylvania"
27.,17.13 mph,"New Hampshire"
28.,16.95 mph,"Maine"
29.,16.46 mph,"Oklahoma"
30.,16.44 mph,"Arkansas"
31.,16.38 mph,"Oregon"
32.,16.35 mph,"Alaska"
33.,16.26 mph,"Kentucky"
34.,16.16 mph,"Ohio"
35.,15.92 mph,"Arizona"
36.,15.88 mph,"South Carolina"
37.,15.76 mph,"Massachusetts"
38.,15.57 mph,"New York"
39.,15.55 mph,"Texas"
40.,15.34 mph,"Georgia"
41.,15.19 mph,"Mississippi"
42.,15.03 mph,"Washington"
43.,14.91 mph,"Rhode Island"
44.,14.70 mph,"Alabama"
45.,14.63 mph,"Florida"
46.,14.33 mph,"New Jersey"
47.,14.03 mph,"Hawaii"
48.,13.97 mph,"Connecticut"
49.,13.60 mph,"Louisiana"
50.,13.54 mph,"California"
51.,12.91 mph,"Delaware"
